County|Contest|Candidate|CountyVotes|CountyPercent|StateVotes|StatePercent
Allen|United States Senate|D-Lisa Johnston|1103|26|215270|26
Allen|United States Senate|L-Michael Wm. Dann|109|3|17437|2
Allen|United States Senate|F-Joseph (Joe) K. Bellis|68|2|11356|1
Allen|United States Senate|R-Jerry Moran|3026|70|578768|70
Allen|United States House of Representatives 002|D-Cheryl Hudspeth|1154|27|65448|32
Allen|United States House of Representatives 002|L-Robert Garrard|142|3|9166|5
Allen|United States House of Representatives 002|R-Lynn Jenkins|3001|70|128083|63
Allen|Governor / Lt. Governor|D-Tom Holland|1213|28|264214|32
Allen|Governor / Lt. Governor|L-Andrew P. Gray|111|3|21932|3
Allen|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|95|2|15050|2
Allen|Governor / Lt. Governor|R-Sam Brownback|2967|68|522540|63
Allen|Secretary of State|D-Chris Biggs|1463|34|302102|37
Allen|Secretary of State|L-Phillip Horatio Lucas|141|3|16946|2
Allen|Secretary of State|F-Derek Langseth|118|3|13482|2
Allen|Secretary of State|R-Kris Kobach|2593|60|482979|59
Allen|Attorney General|D-Steve Six|1186|27|342004|42
Allen|Attorney General|L-Dennis Hawver|98|2|24000|3
Allen|Attorney General|R-Derek Schmidt|3123|71|453629|55
Allen|State Treasurer|D-Dennis McKinney|1941|45|334245|41
Allen|State Treasurer|R-Ron Estes|2364|55|474175|59
Allen|Member, State Board of Education 009|D-Robert E. Medford|1236|30|22129|32
Allen|Member, State Board of Education 009|R-Jana Shaver|2926|70|48156|69
Allen|Supreme Court Justice- 01|Carol A. Beier  - YES|2396|63|439474|63
Allen|Supreme Court Justice- 01|Carol A. Beier - NO|1436|38|256806|37
Allen|Supreme Court Justice- 02|Dan Biles  - YES|2255|60|424952|62
Allen|Supreme Court Justice- 02|Dan Biles - NO|1492|40|261169|38
Allen|Supreme Court Justice- 03|Lawton R. Nuss  - YES|2284|61|428828|63
Allen|Supreme Court Justice- 03|Lawton R. Nuss - NO|1473|39|257019|38
Allen|Supreme Court Justice- 05|Marla J. Luckert  - YES|2276|61|428714|63
Allen|Supreme Court Justice- 05|Marla J. Luckert - NO|1452|39|255057|37
Allen|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|3961|92|710255|89
Allen|Constitutional Amendment 1 - Bear Arms|C.A. #1 - NO|332|8|91004|11
Allen|Constitutional Amendment 2 - Vote Rights|C.A. #2  - YES|2640|63|493764|62
Allen|Constitutional Amendment 2 - Vote Rights|C.A. #2 - NO|1580|37|297382|38
Anderson|United States Senate|D-Lisa Johnston|575|21|215270|26
Anderson|United States Senate|L-Michael Wm. Dann|116|4|17437|2
Anderson|United States Senate|F-Joseph (Joe) K. Bellis|54|2|11356|1
Anderson|United States Senate|R-Jerry Moran|1951|72|578768|70
Anderson|United States House of Representatives 002|D-Cheryl Hudspeth|593|22|65448|32
Anderson|United States House of Representatives 002|L-Robert Garrard|167|6|9166|5
Anderson|United States House of Representatives 002|R-Lynn Jenkins|1932|72|128083|63
Anderson|Governor / Lt. Governor|D-Tom Holland|710|26|264214|32
Anderson|Governor / Lt. Governor|L-Andrew P. Gray|106|4|21932|3
Anderson|Governor / Lt. Governor|F-Kenneth (Ken) W. Cannon|62|2|15050|2
Anderson|Governor / Lt. Governor|R-Sam Brownback|1887|68|522540|63
Anderson|Secretary of State|D-Chris Biggs|835|31|302102|37
Anderson|Secretary of State|L-Phillip Horatio Lucas|84|3|16946|2
Anderson|Secretary of State|F-Derek Langseth|80|3|13482|2
Anderson|Secretary of State|R-Kris Kobach|1690|63|482979|59
Anderson|Attorney General|D-Steve Six|1004|37|342004|42
Anderson|Attorney General|L-Dennis Hawver|114|4|24000|3
Anderson|Attorney General|R-Derek Schmidt|1595|59|453629|55
Anderson|State Treasurer|D-Dennis McKinney|1198|45|334245|41
Anderson|State Treasurer|R-Ron Estes|1459|55|474175|59
Anderson|Member, State Board of Education 009|D-Robert E. Medford|243|27|22129|32
Anderson|Member, State Board of Education 009|R-Jana Shaver|658|73|48156|69
Anderson|Supreme Court Justice- 01|Carol A. Beier  - YES|1264|54|439474|63
Anderson|Supreme Court Justice- 01|Carol A. Beier - NO|1091|46|256806|37
Anderson|Supreme Court Justice- 02|Dan Biles  - YES|1139|50|424952|62
Anderson|Supreme Court Justice- 02|Dan Biles - NO|1139|50|261169|38
Anderson|Supreme Court Justice- 03|Lawton R. Nuss  - YES|1172|52|428828|63
Anderson|Supreme Court Justice- 03|Lawton R. Nuss - NO|1087|48|257019|38
Anderson|Supreme Court Justice- 05|Marla J. Luckert  - YES|1194|52|428714|63
Anderson|Supreme Court Justice- 05|Marla J. Luckert - NO|1088|48|255057|37
Anderson|Constitutional Amendment 1 - Bear Arms|C.A. #1 -  YES|2526|95|710255|89
